,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
79,Marseille,13008,5.362418029,43.23992929,Plage du Bain des Dames,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),295.7176733,2020-09-19,1.0,160.0,10.7,304.45,0.0,-0.1,-0.1,8.1,0.0,0.0,0.0,SSE,automne
80,Marseille,13008,5.359922616,43.23600415,Plage de la bonne brise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),765.225053,2020-09-30,2.0,290.0,2.5,294.15,0.0,0.0,0.9,79.69999999999999,0.0,0.0,0.0,O,automne
81,Marseille,13009,5.450984233,43.20250137,Calanque de la triperie,Mer-Océan,Mer-Océan,Flottant,27732.9157,2020-10-17,0.5,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,0.0,0.0,0.0,OSO,automne
82,Marseille,13009,5.439507762,43.2229985,Luminy,Zone naturelle ou rurale (hors littoral et montagne),Sentier et chemin,Présent au sol (abandonné),349597.5311,2020-10-17,995.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,116.0,52.0,5.0,OSO,automne
87,Marseille,13007,5.299471128,43.2697367,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,280.4234432,2021-01-11,22.75,320.0,5.2,278.35,0.0,0.2,3.5,25.8,223.0,17.0,8.0,NO,Hiver
88,Marseille,13006,5.370457837,43.28447952,ND de la Garde,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),4694.748812,2021-02-13,2805.0,10.0,2.0,280.55,0.0,1.2,24.200000000000003,24.6,650.0,10000.0,130.0,N,Hiver
92,Marseille,13008,5.384568124,43.2632498,"PArc Borely, derrière l'école de danse",Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),8978.83251,2021-03-05,35.5,260.0,2.8,287.95,0.0,-0.1,-0.1,0.8999999999999999,11.0,0.0,3.0,OSO,pringtemps
94,Marseille,13002,5.362429215,43.29567203,Digue du Mucem,Littoral (terrestre),Port,Présent au sol (abandonné),61480.76434,2021-03-21,20200.0,300.0,3.3,284.95,0.0,0.0,1.4,1.2,3529.0,5000.0,0.0,ONO,pringtemps
96,Marseille,13008,5.362410385,43.23990131,Plage du Bain des Dames,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,442.5410801,2021-03-10,100.0,250.0,3.6,287.15,0.0,0.0,-0.1,1.0,0.0,0.0,0.0,OSO,pringtemps
98,Marseille,13008,5.341612881,43.21473893,Littoral anse de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,7760.394889,2021-06-05,360.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,53.0,3000.0,12.0,OSO,été
99,Marseille,13008,5.342645079,43.21417544,Colline anse de la Maronaise,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),24382.06349,2021-06-05,1845.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,383.0,8000.0,89.0,OSO,été
103,Marseille,13015,5.363001145,43.3521147,"Ruisseau des Aygalades, Cité des Arts de la Rue/Savonnerie du Midi",Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné),23365.3105,2021-06-04,9290.0,280.0,2.7,299.95,0.0,0.2,5.0,8.700000000000001,360.0,0.0,4.0,O,été
105,Marseille,13008,5.371745639,43.26117189,plage du Prado,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,27263.20451,2021-05-23,191.0,290.0,4.6,294.55,0.0,0.0,6.6,94.4,74.0,2000.0,20.0,O,pringtemps
108,Marseille,13001,5.382299648,43.29811792,La Canebière,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),12419.60222,2021-05-16,80.0,270.0,2.1,292.35,0.0,2.4,25.3,87.8,5.0,6800.0,0.0,O,pringtemps
110,Marseille,13009,5.498016647,43.20239978,Calanque d'En-Vau,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,2207.80384,2021-07-18,100.0,260.0,5.7,305.55,0.0,0.0,-0.1,18.5,30.0,0.0,1.0,OSO,été
112,Marseille,13009,5.421116652,43.21054847,Calanque de Sormiou,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,79709.92568,2021-07-28,980.0,270.0,5.8,301.05,0.0,0.4,0.3,11.6,231.0,0.0,24.0,O,été
114,Marseille,13009,5.437717221,43.2304645,Luminy,Zone naturelle ou rurale (hors littoral et montagne),Sentier et chemin,Présent au sol (abandonné),13528.3011,2021-05-15,4000.0,200.0,3.8,291.25,0.0,0.6,22.9,85.6,0.0,0.0,0.0,SSO,pringtemps
116,Marseille,13007,5.315779964,43.28421501,Plage de Saint-Estève,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,967.8409548,2021-05-05,8.0,270.0,7.2,294.35,0.0,0.6,51.8,96.4,0.0,0.0,0.0,O,pringtemps
117,Marseille,13001,5.383066367,43.29635509,lycee thiers,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),44365.74265,2021-05-06,6.5,10.0,2.1,293.95,0.0,0.0,32.4,96.4,13.0,100.0,0.0,N,pringtemps
119,Marseille,13008,5.372644168,43.2093191,Calanque de MARSEILLEVEYRE,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,27734.50758,2021-06-05,1000.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,4.0,0.0,0.0,OSO,été
125,Marseille,13008,5.372560233,43.26010384,Digues de la plage du Prado,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,16370.63113,2021-05-16,210.0,270.0,2.1,292.35,0.0,2.4,25.3,87.8,183.0,116.0,7.0,O,pringtemps
126,Marseille,13008,5.372761971,43.25516906,Escale Borely,Mer-Océan,Mer-Océan,Flottant,19272.03246,2021-05-21,50.0,150.0,7.8,293.95,0.0,0.0,6.2,91.0,18.0,1.0,3.0,SE,pringtemps
127,Marseille,13001,5.383044621,43.29618684,Lycee Thiers,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),30966.29313,2021-05-27,4.0,250.0,5.6,298.95,0.0,0.0,7.199999999999999,68.9,6.0,200.0,0.0,OSO,pringtemps
128,Marseille,13008,5.342993575,43.21493166,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,657.1996498,2021-05-19,40.0,310.0,12.9,293.45,0.0,1.2,6.4,91.0,8.0,0.0,0.0,ONO,pringtemps
130,Marseille,13008,5.372455054,43.25851151,plages du Prado/Huveaune,Mer-Océan,Mer-Océan,Flottant,125367.1607,2021-05-23,10.25,290.0,4.6,294.55,0.0,0.0,6.6,94.4,0.0,0.0,0.0,O,pringtemps
131,Marseille,13007,5.362414784,43.29382884,Quai Marcel Pagnol,Littoral (terrestre),Port,Présent au sol (abandonné) ou échoué,1753.505766,2021-06-05,2150.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,578.0,0.0,0.0,OSO,été
140,Marseille,13007,5.369650375,43.26675584,Base nautique du Roucas blanc,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,78971.10352,2021-06-05,800.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,145.0,130.0,40.0,OSO,été
141,Marseille,13008,5.37410013,43.25412236,"Plage Borély, Bonneveine, Vieille-chapelle",Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,31714.71277,2021-05-23,820.0,290.0,4.6,294.55,0.0,0.0,6.6,94.4,57.0,0.0,20.0,O,pringtemps
149,Marseille,13009,5.457551649,43.23999632,Col de la gineste,Montagne,Sentier et chemin,Présent au sol (abandonné),102510.0391,2021-06-05,1300.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,678.0,0.0,85.0,OSO,été
151,Marseille,13007,5.299461282,43.26978101,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,240.4961651,2021-04-22,18.4,250.0,4.5,292.45,0.0,0.0,10.9,64.0,207.0,36.0,4.0,OSO,pringtemps
155,Marseille,13008,5.366748307,43.24334939,Partie Est du plan d'eau,Littoral (terrestre),Port,Flottant,14127.43645,2021-06-05,15.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,2.0,0.0,0.0,OSO,été
156,Marseille,13008,5.361915212,43.24045531,Plage du Bain des dames et de la batterie,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,30755.43566,2021-06-05,400.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,318.0,2971.0,23.0,OSO,été
157,Marseille,13008,5.346053161,43.22316585,Escalette,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,35602.9901,2021-06-05,6000.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,390.0,5000.0,58.0,OSO,été
158,Marseille,13008,5.35339896,43.21217295,Callanque de Callelongue- Marseilleveyre,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),78558.51221,2021-06-05,2640.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,270.0,0.0,75.0,OSO,été
159,Marseille,13015,5.361913044,43.34757735,Entrée Centre de transfert des déchets et Jardinot,Cours d'eau,Lit du cours d'eau,Flottant,1216.861939,2021-06-04,10000.0,280.0,2.7,299.95,0.0,0.2,5.0,8.700000000000001,377.0,0.0,0.0,O,été
161,Marseille,13008,5.352451155,43.21135524,Calanque de Callelongue,Mer-Océan,Mer-Océan,Flottant,15546.83568,2021-06-05,200.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,0.0,0.0,0.0,OSO,été
162,Marseille,13007,5.299478986,43.26974629,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,223.9930067,2021-06-27,29.6,170.0,7.4,301.85,0.0,0.0,0.2,5.4,84.0,10.0,2.0,SSE,été
176,Marseille,13008,5.342714335,43.21514371,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),1930.12557,2021-06-16,36.0,,,,,,,,0.0,50.0,0.0,,été
183,Marseille,13011,5.433037467,43.28558761,Residence Saint Loup,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,10231.94463,2021-06-03,1800.0,200.0,6.3,299.55,0.0,0.6,4.8,8.5,52.0,0.0,0.0,SSO,été
189,Marseille,13009,5.407789672,43.27441669,Dromel,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,4399.579278,2021-06-10,1576.0,250.0,4.5,304.35,0.0,0.0,0.4,8.9,57.0,0.0,0.0,OSO,été
190,Marseille,13007,5.306734635,43.2783289,Port du Frioul,Littoral (terrestre),Port,Flottant,132577.826,2021-06-27,50.0,170.0,7.4,301.85,0.0,0.0,0.2,5.4,9.0,0.0,0.0,SSE,été
191,Marseille,13009,5.454939294,43.21182027,Calanque de Sugiton,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,8355.322607,2021-07-08,125.0,300.0,7.7,300.35,0.0,0.0,10.2,25.0,13.0,0.0,12.0,ONO,été
192,Marseille,13011,5.461818628,43.29053096,Emmaüs Saint Marcel,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,2134.445777,2021-06-17,550.0,180.0,4.4,303.65,0.0,0.0,0.0,5.1000000000000005,33.0,0.0,0.0,S,été
196,Marseille,13008,5.368689566,43.26468295,Digue du Petit Roucas,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),73624.42362,2021-06-27,11250.0,170.0,7.4,301.85,0.0,0.0,0.2,5.4,292.0,25000.0,0.0,SSE,été
197,Marseille,13007,5.349542868,43.28029023,Anse de Maldormé,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,692.4355852,2021-07-13,30.0,310.0,9.4,298.05,0.0,0.0,-0.1,24.1,0.0,0.0,0.0,ONO,été
199,Marseille,13011,5.49448498,43.28579027,Domaine Vallée Verte,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,2888.140084,2021-06-24,1600.0,240.0,7.2,299.15,0.0,0.0,0.1,5.3,87.0,0.0,0.0,SO,été
200,Marseille,13007,5.302130864,43.27579832,Iles du Frioul,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,1754842.562,2021-06-27,491.0,170.0,7.4,301.85,0.0,0.0,0.2,5.4,71.0,0.0,15.0,SSE,été
204,Marseille,13008,5.372509128,43.25515748,Escale Borely,Mer-Océan,Mer-Océan,Flottant,31990.053,2021-07-07,75.0,270.0,1.9,300.65,0.0,0.0,10.2,36.6,44.0,0.0,1.0,O,été
208,Marseille,13009,5.4225541,43.20985341,Calanque de sormiou,Mer-Océan,Mer-Océan,Flottant,56442.40352,2021-07-28,220.0,270.0,5.8,301.05,0.0,0.4,0.3,11.6,28.0,0.0,2.0,O,été
209,Marseille,13009,5.444396849,43.21235442,Calanque de Morgiou,Mer-Océan,Mer-Océan,Flottant,3590.297806,2021-08-06,200.0,290.0,3.4,302.65,0.0,0.0,10.3,153.3,14.0,0.0,1.0,O,été
210,Marseille,13009,5.424699757,43.20889751,calanque de Sormiou,Mer-Océan,Mer-Océan,Flottant,179399.0683,2021-09-05,50.0,260.0,2.7,302.05,0.0,0.0,15.4,57.0,21.0,0.0,0.0,OSO,automne
211,Marseille,13009,5.500728625,43.20118748,Calanque d'En-Vau,Mer-Océan,Mer-Océan,Flottant,19376.19165,2021-08-15,75.0,260.0,2.2,306.15,0.0,0.0,0.0,133.10000000000002,1.0,0.0,1.0,OSO,été
212,Marseille,13008,5.348415032,43.22980858,Calanque de Saména - Mont Rose,Mer-Océan,Mer-Océan,Flottant,6785.464712,2021-07-21,1.5,260.0,2.4,304.85,0.0,0.0,0.0,15.1,2.0,0.0,0.0,OSO,été
213,Marseille,13008,5.37308014,43.25645073,Escale Borely,Mer-Océan,Mer-Océan,Flottant,106813.2755,2021-09-18,140.0,260.0,3.0,299.15,0.0,0.0,19.6,43.2,20.0,22.0,6.0,OSO,automne
214,Marseille,13008,5.339928961,43.21344551,cap Croisette,Mer-Océan,Mer-Océan,Flottant,13874.68333,2021-08-29,110.0,250.0,5.1,299.65,0.0,0.0,1.1,13.4,13.0,0.0,0.0,OSO,été
215,Marseille,13008,5.340381934,43.21557824,anse de la Maronaise,Mer-Océan,Mer-Océan,Flottant,73758.36538,2021-09-11,110.0,260.0,4.8,300.85,0.0,0.8,2.8,50.6,32.0,2.0,1.0,OSO,automne
