,numer_sta,date,dd,ff,t,ww,rr3,rr6,rr12,rr24,hour,DATE,ff_X,ff_Y,ff_weekly,ff24,rr_weekly,rr_monthly
1795,7650,20200204120000,330,15.9,286.15,0,0.0,0.0,0.0,0.0,120000,2020-02-04,13.76980392017257,-7.950000000000007,97.2454580472168,34.99746593630626,0.1,8.9
1796,7650,20200205120000,330,14.7,284.85,0,0.0,0.0,0.0,0.0,120000,2020-02-05,12.730573435631243,-7.350000000000006,104.36840120221362,42.85762647772705,0.1,8.9
1797,7650,20200206120000,140,5.7,287.25,0,0.0,0.0,0.0,0.0,120000,2020-02-06,-4.366453325778174,3.6638893752132753,103.95453172112096,35.394965513695865,0.1,8.9
1798,7650,20200207120000,290,1.2,285.85,0,0.0,0.0,0.0,0.0,120000,2020-02-07,0.41042417199080183,-1.1276311449430902,102.23272797661883,31.985676394919896,0.1,8.9
1799,7650,20200208120000,140,6.1,287.45,0,0.0,0.0,0.0,0.0,120000,2020-02-08,-4.672871103025765,3.9210044190878905,96.31289523189004,27.871456762650315,-0.1,8.700000000000001
1800,7650,20200209120000,150,3.2,288.75,0,0.0,0.0,0.0,0.0,120000,2020-02-09,-2.771281292110204,1.5999999999999999,93.77752426492266,25.434767891740577,0.0,8.700000000000001
1801,7650,20200210120000,280,1.1,288.35,0,0.0,0.0,0.0,0.0,120000,2020-02-10,0.191012995433623,-1.083288528313429,92.0455860119916,25.70675801731657,0.0,8.5
1802,7650,20200211120000,280,4.6,287.65,0,0.0,0.0,0.0,0.0,120000,2020-02-11,0.7987816172678778,-4.530115663856157,102.95244277041569,20.595343334624072,0.0,0.0
1803,7650,20200212120000,320,8.4,285.75,0,0.0,0.0,0.0,0.0,120000,2020-02-12,6.434773322199415,-5.399415921366932,111.99065143024882,13.52234580705097,0.0,0.0
1804,7650,20200213120000,140,3.3,286.35,0,0.0,0.0,0.0,0.0,120000,2020-02-13,-2.527946662292627,2.12119911196558,104.80368392122406,6.556862826655017,0.0,0.1
1805,7650,20200214120000,310,13.1,287.65,0,0.2,0.2,0.2,0.4,120000,2020-02-14,8.420517686893664,-10.035182204858613,111.93543350831119,15.833566751632247,0.4,0.5
1806,7650,20200215120000,260,3.4,285.75,0,0.0,0.0,0.0,0.0,120000,2020-02-15,-0.5904038040675631,-3.348346360241507,110.69656969766255,17.567215494940758,0.4,0.5
1807,7650,20200216120000,130,4.2,287.35,0,0.0,0.0,0.0,0.0,120000,2020-02-16,-2.699707960683465,3.217386661099708,105.93334508269409,18.905537132565968,0.4,0.5
1808,7650,20200217120000,140,3.9,286.55,50,1.0,1.2,1.2,1.2,120000,2020-02-17,-2.9875733281640136,2.5068716777775037,103.55214290727623,17.98571408574229,1.6,1.7
1809,7650,20200218120000,320,11.9,286.15,0,0.0,0.0,0.0,0.6,120000,2020-02-18,9.115928873115838,-7.649172555269821,108.33224323836151,28.093529495425962,2.1999999999999997,2.3
1810,7650,20200219120000,300,7.5,286.95,0,0.0,0.0,0.0,0.0,120000,2020-02-19,3.75,-6.495190528383289,108.22823122832462,31.414943571431813,2.1999999999999997,2.3
1811,7650,20200220120000,260,2.0,286.65,0,0.0,0.0,0.0,0.0,120000,2020-02-20,-0.34729635533386066,-1.969615506024416,108.66167969622697,24.820022690264512,2.1999999999999997,2.3
1812,7650,20200221120000,320,11.2,288.25,0,0.0,0.0,0.0,0.0,120000,2020-02-21,8.579697762932552,-7.199221228489243,108.45687319447346,38.72267491300971,1.7999999999999998,2.3
1813,7650,20200222120000,270,2.4,286.65,0,0.0,0.0,0.0,0.0,120000,2020-02-22,-4.408728476930471e-16,-2.4,108.2972275976539,27.645624020589025,1.7999999999999998,2.3
1814,7650,20200223120000,260,1.4,287.45,0,0.0,0.0,0.0,0.0,120000,2020-02-23,-0.24310744873370244,-1.378730854217091,110.14462854598229,26.203890390703744,1.7999999999999998,2.3
1815,7650,20200224120000,290,6.4,291.85,0,0.0,0.0,0.0,0.0,120000,2020-02-24,2.1889289172842767,-6.014032773029815,113.36870718627716,36.58648322763474,0.5999999999999998,2.3
1816,7650,20200225120000,270,4.0,286.15,0,0.0,0.0,0.0,0.0,120000,2020-02-25,-7.347880794884119e-16,-4.0,124.98112227532401,43.67934812992902,0.0,2.3
1817,7650,20200226120000,300,12.0,285.65,0,0.0,0.0,0.0,-0.1,120000,2020-02-26,6.0,-10.392304845413264,131.30016216938057,44.55428708825981,-0.10000000000000023,2.1999999999999997
1818,7650,20200227120000,120,4.8,281.65,58,1.0,1.0,1.0,1.0,120000,2020-02-27,-2.399999999999999,4.156921938165306,125.97605088231282,32.284721737001334,0.8999999999999998,3.2
1819,7650,20200228120000,280,5.6,285.55,0,0.0,0.0,0.0,0.4,120000,2020-02-28,0.9724297949348077,-5.514923416868365,127.22008730259948,36.05559175094148,1.2999999999999998,3.6
1820,7650,20200229120000,130,10.8,288.35,0,-0.1,-0.1,-0.1,-0.1,120000,2020-02-29,-6.942106184614625,8.273279985684963,118.55141232705519,17.274990548559124,1.1999999999999997,3.3
1821,7650,20181001120000,330,18.3,291.35,0,0.0,0.0,0.0,0.0,120000,2018-10-01,15.848264889255223,-9.15000000000001,125.33465479514642,28.545800616905506,1.1999999999999997,3.4
1822,7650,20181002120000,330,8.0,292.95,0,0.0,0.0,0.0,0.0,120000,2018-10-02,6.928203230275507,-4.0000000000000036,130.7695572810526,34.93297327946392,1.1999999999999997,3.4
1823,7650,20181003120000,250,2.3,296.15,0,0.0,0.0,0.0,0.0,120000,2018-10-03,-0.7866463296490394,-2.161293027807589,140.395870505235,30.07087636007246,1.1999999999999997,3.4
1824,7650,20181004120000,270,2.9,297.65,0,0.0,0.0,0.0,0.0,120000,2018-10-04,-5.327213576290986e-16,-2.9,139.7104375826784,29.246081830854518,1.2999999999999998,3.4
1825,7650,20181005120000,300,3.6,298.65,0,0.0,0.0,0.0,0.0,120000,2018-10-05,1.8,-3.117691453623979,149.2333682657339,21.107719063917198,0.29999999999999993,3.4
1826,7650,20181006120000,190,3.5,297.35,0,0.0,0.0,0.0,0.0,120000,2018-10-06,-3.446827135542728,-0.6077686218342566,145.62849959602107,23.966709652552616,-0.10000000000000012,3.4
1827,7650,20181007120000,330,5.3,291.55,0,0.0,1.1,41.7,41.7,120000,2018-10-07,4.589934640057523,-2.650000000000002,148.0132853746476,24.285780228880746,41.7,45.1
1828,7650,20181008120000,200,1.0,294.75,0,-0.1,-0.1,-0.1,-0.1,120000,2018-10-08,-0.9396926207859084,-0.34202014332566866,143.22545934257616,34.599409556463065,41.6,45.0
1829,7650,20181009120000,120,7.5,299.65,0,0.0,0.0,0.0,13.1,120000,2018-10-09,-3.7499999999999982,6.495190528383291,132.08243061643446,10.271352640771992,54.7,58.1
1830,7650,20181010120000,100,8.0,291.95,61,17.4,21.6,21.6,21.6,120000,2018-10-10,-1.3891854213354424,7.878462024097664,118.75462138244235,4.7030578023945795,76.30000000000001,79.7
