,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff24,ff_weekly,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
236,Marseille,13008,5.348865421,43.21383575,Parking Napoléon,Littoral (terrestre),Parking,Présent au sol (abandonné),3147.903369,2022-07-05,345,330.0,40.48141999126216,268.3106285695627,307.25,0.0,0.0,2.2,3.6,109,1270,9,NO,Eté
237,Marseille,13008,5.373030832,43.26030963,Terrains sports en plage et alentours,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),28404.72081,2022-07-14,70.5,260.0,27.653773916111373,268.41333597356515,305.45,0.0,0.0,0.0,2.6,66,27001,2,OSO,Eté
238,Marseille,13009,5.428932598,43.23821531,Parking de l'ancienne piscine de Luminy,Zone naturelle ou rurale (hors littoral et montagne),Parking,Présent au sol (abandonné),2614.0544,2022-07-13,1562,190.0,23.162459855061705,266.84648806283997,303.45,0.0,0.0,0.0,3.6,301,170,3,S,Eté
239,Marseille,13007,5.299486719,43.26979772,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,491.9193969,2022-06-23,32.8,140.0,48.24394212892939,83.71057854040049,298.05,0.0,3.5,4.899999999999998,7.799999999999999,169,70,16,SE,Eté
240,Marseille,13009,5.435145945,43.23783723,"Aire de pique nique et routes s'y rendant depuis les barrières DFCI stade, rond point et CROUS",Zone urbaine,"Route, rue, place",Présent au sol (abandonné),7624.76022,2022-07-20,249,250.0,35.010386822454045,264.23715412361867,306.25,0.0,0.0,0.0,2.8000000000000003,57,135,0,OSO,Eté
241,Marseille,13007,5.34994393,43.28546812,Vallon des Auffes,Multi-lieux,Multi-Lieux,Présent au sol (abandonné) ou échoué,17961.76496,2022-08-07,2400,280.0,30.114539761562305,169.3695254496549,305.15,0.0,0.0,0.0,33.4,597,1001,0,O,Eté
242,Marseille,13007,5.299126238,43.28149927,plage frioul,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),626.7109933,2022-08-18,58,,,,,,,,,39,1,0,,Eté
243,Marseille,13007,5.350052842,43.2852192,Vallon des Auffes,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,8560.183532,2022-09-11,460,270.0,20.960658439756468,172.0310419126396,299.55,0.0,0.0,0.0,75.5,50,3,0,O,Automne
244,Marseille,13007,5.307500619,43.28495828,Plage du frioul,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),1501.111045,2022-08-18,236,,,,,,,,,26,29,6,,Eté
245,Marseille,13007,5.349694951,43.28546684,Vallon des Auffes,Mer-Océan,Mer-Océan,Flottant,25226.52653,2022-09-11,355,270.0,20.960658439756468,172.0310419126396,299.55,0.0,0.0,0.0,75.5,184,33,28,O,Automne
246,Marseille,13009,5.402592936,43.27091708,Promenade Dromel,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),11675.93078,2022-10-01,20,290.0,32.42642256397246,211.2711488769442,291.35,0.0,0.0,0.0,-0.30000000000000004,47,200,4,O,Automne
247,Marseille,13000,5.292249819,43.35765827,Corbières,Mer-Océan,Mer-Océan,Flottant,32589.11009,2022-09-17,250,,,,,,,,,105,11,1,,Automne
248,Marseille,13009,5.401825701,43.23146653,quartier de la Cayolle,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),432903.7733,2022-09-23,991,210.0,40.12541919791965,170.18256266728335,297.75,0.0,0.2,1.2,5.500000000000001,457,505,54,SSO,Automne
249,Marseille,13008,5.342974572,43.2148876,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,332.8853906,2021-11-06,119.9,320.0,50.04849294936568,225.5074877104153,288.35,0.0,0.0,17.0,17.8,996,77,30,NO,Automne
250,Marseille,13008,5.350106647,43.21278284,Route de Callelongue,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,43852.87161,2022-09-17,1487,,,,,,,,,484,10000,45,,Automne
252,Marseille,13009,5.408328259,43.27487917,Dromel 2,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,27.80650638,2022-10-18,5800,270.0,21.386625303411396,193.14723323946433,297.45,0.0,0.0,0.1,1.9,128,0,5,O,Automne
253,Marseille,13009,5.404962822,43.27231121,DROMEL 1,Zone urbaine,"Route, rue, place",Enfoui,15508.89405,2022-10-19,600,350.0,19.47845484177729,189.3217984482101,296.55,0.0,0.2,0.30000000000000004,2.1,169,0,35,NNO,Automne
254,Marseille,13009,5.406076724,43.27295326,DROMEL 1,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),7225.754732,2022-10-19,300,350.0,19.47845484177729,189.3217984482101,296.55,0.0,0.2,0.30000000000000004,2.1,0,0,0,NNO,Automne
255,Marseille,13008,5.396941393,43.26800217,Huveaune côté stade Vélodrome,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné),12727.88035,2022-10-16,3250,160.0,22.628556401249277,195.26584339779953,299.45,0.0,0.0,0.30000000000000004,1.7,561,1000,251,SSE,Automne
256,Marseille,13007,5.362003009,43.29387438,Quai Marcel Pagnol,Littoral (terrestre),Port,Présent au sol (abandonné),942.680356,2022-11-27,3900,270.0,29.72964132244439,235.999123808926,289.35,0.0,0.0,7.3999999999999995,80.69999999999999,4758,5060,53,O,Automne
257,Marseille,13008,5.366827509,43.24521272,Club de Voile Pointe Rouge,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,3437.679887,2022-10-08,0,290.0,32.904071812785695,203.9397838242018,294.45,0.0,1.0,1.4,1.2,0,0,0,O,Automne
258,Marseille,13007,5.369641841,43.26667845,Club La Pelle,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,14866.4105,2022-10-15,1600,270.0,27.251887978744026,196.9386212266118,297.75,0.0,0.2,0.5,1.7,178,140,4,O,Automne
259,Marseille,13008,5.385445612,43.26292826,Parc Henri Fabre,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,5707.38827,2022-10-15,1200,270.0,27.251887978744026,196.9386212266118,297.75,0.0,0.2,0.5,1.7,132,0,19,O,Automne
260,Marseille,13007,5.299486719,43.26979772,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,491.9193969,2022-09-16,118.55,320.0,22.72318067660624,163.979828389023,299.75,10.0,0.0,2.6,78.1,821,219,109,NO,Automne
261,Marseille,13007,5.352958899,43.28033868,Anse de la Fausse Monnaie,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,851.7148746,2022-11-14,202.3,100.0,13.351739205103765,166.87077558510268,291.55,0.0,-0.1,0.5000000000000001,92.5,270,809,8,E,Automne
262,Marseille,13007,5.289795862,43.26250242,Calanques Cambrettes,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,1154.340889,2022-09-30,250,320.0,51.221965802704865,178.08533957887244,292.25,0.0,0.0,29.6,34.2,374,30,15,NO,Automne
263,Marseille,13007,5.304563989,43.28213602,Calanque de Morgiret,Mer-Océan,Mer-Océan,Flottant,21108.34049,2022-07-08,225,270.0,45.0790131039519,290.27811239882925,304.25,0.0,0.0,0.0,3.6,98,0,0,O,Eté
264,Marseille,13000,5.293898345,43.35898039,Corbières,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,1638.283785,2022-10-06,202,250.0,37.13991039448965,210.3347129765197,296.95,0.0,0.2,0.4,0.1,75,2448,0,OSO,Automne
